ticker,date,candidate,is_selected,fill_time,signal_data_cutoff,reference_price,from_position,to_position,turnover,cost_fraction_of_day_start_equity,slippage_bps_per_side,commission_bps_per_side
MSTR,2026-09-01,trend_12,False,2026-09-01T11:00:00-04:00,2026-09-01T11:00:00-04:00,128.22999572753906,1.0,-1.0,2.0,0.0009929958899834194,5.0,0.0
MSTR,2026-09-01,trend_12,False,2026-09-01T13:35:00-04:00,2026-09-01T13:35:00-04:00,126.33999633789062,-1.0,1.0,2.0,0.0010066775314012224,5.0,0.0
MSTR,2026-09-01,trend_12,False,2026-09-01T13:40:00-04:00,2026-09-01T13:40:00-04:00,125.93000030517578,1.0,-1.0,2.0,0.0010024072709012032,5.0,0.0
MSTR,2026-09-01,trend_12,False,2026-09-01T15:00:00-04:00,2026-09-01T15:00:00-04:00,125.43000030517578,-1.0,1.0,2.0,0.0010052971250607825,5.0,0.0
MSTR,2026-09-01,trend_12,False,2026-09-01T16:00:00-04:00,,124.91000366210938,1.0,0.0,1.0,0.0005000641616840575,5.0,0.0
MSTR,2026-09-01,reversal_3,False,2026-09-01T09:50:00-04:00,2026-09-01T09:50:00-04:00,128.5800018310547,0.0,-1.0,1.0,0.0005,5.0,0.0
MSTR,2026-09-01,reversal_3,False,2026-09-01T10:25:00-04:00,2026-09-01T10:25:00-04:00,129.19940185546875,-1.0,1.0,2.0,0.000994633887529385,5.0,0.0
MSTR,2026-09-01,reversal_3,False,2026-09-01T10:45:00-04:00,2026-09-01T10:45:00-04:00,129.36000061035156,1.0,-1.0,2.0,0.0009948743772155396,5.0,0.0
MSTR,2026-09-01,reversal_3,False,2026-09-01T10:50:00-04:00,2026-09-01T10:50:00-04:00,129.0,-1.0,-0.0,1.0,0.0004983227029727704,5.0,0.0
MSTR,2026-09-01,reversal_3,False,2026-09-01T10:55:00-04:00,2026-09-01T10:55:00-04:00,128.6199951171875,-0.0,1.0,1.0,0.000498073541621284,5.0,0.0
MSTR,2026-09-01,reversal_3,False,2026-09-01T11:25:00-04:00,2026-09-01T11:25:00-04:00,127.80999755859375,1.0,-1.0,2.0,0.0009893788083505325,5.0,0.0
MSTR,2026-09-01,reversal_3,False,2026-09-01T12:00:00-04:00,2026-09-01T12:00:00-04:00,127.77100372314453,-1.0,1.0,2.0,0.000988675408419087,5.0,0.0
MSTR,2026-09-01,reversal_3,False,2026-09-01T12:40:00-04:00,2026-09-01T12:40:00-04:00,126.58000183105469,1.0,-1.0,2.0,0.000978480131093721,5.0,0.0
MSTR,2026-09-01,reversal_3,False,2026-09-01T12:45:00-04:00,2026-09-01T12:45:00-04:00,126.08999633789062,-1.0,1.0,2.0,0.000981285670330773,5.0,0.0
MSTR,2026-09-01,reversal_3,False,2026-09-01T13:00:00-04:00,2026-09-01T13:00:00-04:00,126.28500366210938,1.0,-1.0,2.0,0.0009818204964894908,5.0,0.0
MSTR,2026-09-01,reversal_3,False,2026-09-01T13:15:00-04:00,2026-09-01T13:15:00-04:00,126.08000183105469,-1.0,1.0,2.0,0.0009824300403343247,5.0,0.0
